x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	global
-1.04	-2.08	-4.4258013064251145	-23.721449138957517	-132.17935575786439	-0.11831712184872245	-0.00306786079446586	6.810964912531897	-13.427852686146288	-14.346348487885248	0.0032411017240194795	-0.2233756738466397	0.0	0.0	0.24559468946917207	-181.38576733004328
-1.04	-1.9951020408163267	-4.479306182569303	-21.771269533183244	-129.8601676359447	-0.11831704525421571	-0.0030678588300390164	6.7704459550684515	-13.425482522031103	-14.34199634573352	0.0030026839658034987	-0.2237347079337546	0.0	0.0	0.2455945112140938	-177.20429868123153
-1.04	-1.910204081632653	-4.534267566661015	-19.903053531979452	-127.59119872405932	-0.11831696866083874	-0.003067856865613394	6.655321300661949	-13.423143284229347	-14.33763875783211	0.0027623731851482702	-0.22409172559697765	0.0	0.0	0.2455943329591186	-173.23110040907852
-1.04	-1.8253061224489797	-4.59069910529729	-18.11688771063227	-125.37251703826453	-0.1183168920685489	-0.0030678549011888823	6.466580214175721	-13.420834698353474	-14.333275483712821	0.002520147596248634	-0.2244467401806851	0.0	0.0	0.24559415470424284	-169.46535100693458
-1.04	-1.7404081632653061	-4.648614283109623	-16.412858673773783	-123.20419055840216	-0.11831681547735684	-0.0030678529367657026	6.205207664157356	-13.418556491219839	-14.328906229088552	0.0022759851042266632	-0.2247996005621271	0.0	0.0	0.24559397644948078	-165.90623287885916
-1.04	-1.6555102040816327	-4.708026441046684	-14.791053055371144	-121.08628722798264	-0.11831673888727323	-0.0030678509723445213	5.872184110057086	-13.416308390844655	-14.324530742217448	0.0020298633003656974	-0.22515032304042748	0.0	0.0	0.2455937981948182	-162.55293299881035
-1.04	-1.5706122448979594	-4.768948733419961	-13.251557518715039	-119.01887495410725	-0.11831666229828386	-0.003067849007923562	5.468485890133428	-13.414090126439056	-14.320148726590801	0.0017817594573008577	-0.22549888096557247	0.0	0.0	0.24559361994024442	-159.4046421820129
-1.04	-1.4857142857142858	-4.831394126498196	-11.794458756412801	-117.00202160736853	-0.11831658571040293	-0.003067847043504157	4.995084133872364	-13.4119014284162	-14.315759804321942	0.0015316505241207423	-0.22584523520109911	0.0	0.0	0.24559344168577724	-156.46055616489042
-1.04	-1.4008163265306122	-4.895375371062357	-10.419843490376465	-115.03579502177274	-0.11831650912360914	-0.0030678450790857514	4.452947548436679	-13.409742028386056	-14.311363859044384	0.0012795131214584643	-0.22618934574456517	0.0	0.0	0.24559326343142018	-153.71987314559968
-1.04	-1.3159183673469388	-4.960904981839917	-9.127798471813719	-113.12026299462642	-0.11831643253793445	-0.003067843114669566	3.843038310784573	-13.407611659157872	-14.306960524055604	0.0010253235364885427	-0.22653125029899002	0.0	0.0	0.2455930851771697	-151.18179743794687
