x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	global
-1.04	-2.08	-309.8589398701704	-27.835981459296164	-96.93339278862334	-3.6175183126824386	0.00459064843374557	-1.2902789727519561	-11.598909397914504	-68.0	0.016700943699399673	-0.002710511250997527	0.0	0.0	0.24559468946902996	-518.8708450310875
-1.04	-1.9951020408163267	-309.873193996753	-25.951630683522467	-95.11712843319478	-3.6175140870350013	0.004590644684157041	-1.4478790393863115	-11.595926017266812	-68.0	0.0164436248143911	-0.003036953096607675	0.0	0.0	0.2455945112139588	-515.3396804295425
-1.04	-1.910204081632653	-309.88871871598974	-24.148412783571388	-93.35117314275485	-3.61750986139295	0.004590640933671675	-1.6771780447052116	-11.592981691251332	-68.0	0.016184262576661723	-0.0033617556052014663	0.0	0.0	0.24559433295898714	-512.0129667588014
-1.04	-1.8253061224489797	-309.9055334236633	-22.42641342427993	-91.6355945239566	-3.6175056357562063	0.004590637182273705	-1.9772194670785623	-11.590076074903244	-68.0	0.015922832650510976	-0.0036848945877903105	0.0	0.0	0.24559415470410784	-508.88991981968877
-1.04	-1.7404081632653061	-309.9236576683671	-20.78571829950127	-89.97046014738126	-3.6175014101247918	0.004590633429947144	-2.3470511474480666	-11.587208824785463	-68.0	0.015659310336652688	-0.004006164676727764	0.0	0.0	0.245593976449328	-505.96975974206873
-1.04	-1.6555102040816327	-309.9431111514365	-19.226413132096326	-88.35583754741849	-3.617497184498699	0.0045906296766746735	-2.785725173619511	-11.584379598984569	-68.0	0.01539367056394969	-0.004325454453832478	0.0	0.0	0.24559379819466542	-503.2517111440727
-1.04	-1.5706122448979594	-309.9639137070217	-17.748583673923108	-86.79179422218719	-3.61749295887795	0.004590625922440639	-3.2922979642018326	-11.581588057112484	-68.0	0.015125887882094347	-0.004642759105466965	0.0	0.0	0.24559361994010587	-500.7350032086851
-1.04	-1.4857142857142858	-309.98608531335253	-16.352315705825717	-85.27839763342202	-3.617488733262551	0.004590622167227276	-3.8658301178160173	-11.578833860314049	-68.0	0.014855936458290309	-0.004958186996693925	0.0	0.0	0.24559344168563513	-498.4188695506785
-1.04	-1.4008163265306122	-310.00964606392984	-15.037695037629739	-83.81571520640405	-3.617484507652467	0.0045906184110172665	-4.505385666234961	-11.576116671253544	-68.0	0.014583790068376068	-0.005271658081740682	0.0	0.0	0.24559326343129229	-496.30254713927565
-1.04	-1.3159183673469388	-310.0346161870933	-13.804807508124782	-82.40381432988227	-3.617480282047719	0.004590614653792402	-5.2100335281480525	-11.573436154121879	-68.0	0.01430942209044428	-0.005583245521478375	0.0	0.0	0.24559308517702405	-494.3852781130182
-1.04	-1.2310204081632654	-310.06101602433	-12.653738985056265	-81.04276235595012	-3.6174760564483144	0.004590610895534031	-5.97884690032549	-11.570791974644436	-68.0	0.014032805496969836	-0.005892946137542765	0.0	0.0	0.2455929069228837	-492.6663089195768
-1.04	-1.1461224489795918	-310.0888660038348	-11.584575365114425	-79.73262659994242	-3.617471830854239	0.004590607136223834	-6.81090227667535	-11.568183800056573	-68.0	0.013753912850754446	-0.006200726929472822	0.0	0.0	0.24559272866883575	-491.14488935475146
-1.04	-1.0612244897959184	-310.1181866783187	-10.597402573921443	-78.47347434039717	-3.617467605265521	0.004590603375842273	-7.705281144104372	-11.56561129914175	-68.0	0.013472716294824494	-0.006506645412098777	0.0	0.0	0.2455925504148908	-489.8202744164755
-1.04	-0.9763265306122448	-310.1489986762606	-9.692306566020903	-77.26537281891018	-3.6174633796821247	0.004590599614370028	-8.66106844896714	-11.56307414218562	-68.0	0.013189187547593129	-0.006810562190027625	0.0	0.0	0.24559237216104535	-488.6917224348935
-1.04	-0.8914285714285715	-310.18132269843966	-8.86937332486417	-76.10838924008874	-3.6174591541040577	0.004590595851786783	-9.67735319423667	-11.56057200101531	-68.0	0.012903297893782195	-0.007112430363150679	0.0	0.0	0.24559219390731357	-487.7584959554589
-1.04	-0.8065306122448979	-310.2151795268164	-8.128688862796565	-75.00259077143136	-3.617454928531334	0.0045905920880717765	-10.753229472533679	-11.558104548982556	-68.0	0.012615018177637438	-0.007412188227643668	0.0	0.0	0.24559201565367417	-487.0198626734002
-1.04	-0.7216326530612245	-310.2505899909613	-7.470339221046373	-73.94804454322522	-3.6174507029639393	0.004590588323204248	-11.887794416409612	-11.555671460957576	-68.0	0.01232431879611795	-0.007709795245524731	0.0	0.0	0.2455918374001449	-486.4750933862902
-1.04	-0.6367346938775511	-310.28757496459457	-6.894410469710678	-72.94481764849564	-3.6174464774018453	0.004590584557162658	-13.080149658567755	-11.553272413341801	-68.0	0.012031169690257748	-0.008005209946315262	0.0	0.0	0.2455916591467222	-486.1234634286645
-1.04	-0.5518367346938775	-310.32615536495734	-6.400988707738023	-71.99297714288215	-3.6174422518451657	0.004590580789924914	-14.329400967984068	-11.55090708405821	-68.0	0.011735540337274308	-0.008298389901577607	0.0	0.0	0.245591480893399	-485.96425230734593
-1.04	-0.46693877551020413	-310.36635212197007	-5.9901600629183065	-71.09259004457131	-3.61743802629373	0.004590577021468367	-15.634658102727997	-11.548575152562805	-68.0	0.011437399743510213	-0.008589216421087897	0.0	0.0	0.24559130264016815	-485.9967434480602
-1.04	-0.38204081632653053	-310.40818617555533	-5.662010691865277	-70.24372333417699	-3.6174338007477154	0.004590573251769814	-16.995035492439385	-11.546276299828627	-68.0	0.011136716435791172	-0.008877669671438326	0.0	0.0	0.245591124387051	-486.22022505021016
-1.04	-0.29714285714285715	-310.4516784500647	-5.4166267799990635	-69.44644395468126	-3.617429575206959	0.004590569480805495	-18.409650508612614	-11.544010208357768	-68.0	0.010833458455015155	-0.009163770091021206	0.0	0.0	0.24559094613403332	-486.6339882729436
-1.04	-0.21224489795918355	-310.49684985181	-5.254094541534805	-68.70081881132978	-3.617425349671567	0.004590565708551209	-19.87762585896005	-11.541776562175734	-68.0	0.010527593343979014	-0.009447294844433074	0.0	0.0	0.24559076788113643	-487.2373293433928
-1.04	-0.12734693877551018	-310.54372124011536	-5.174500219461365	-68.00691477153164	-3.6174211241415186	0.00459056193498264	-21.398087510073786	-11.53957504683401	-68.0	0.010219088143756494	-0.009728244113045292	0.0	0.0	0.24559058962832836	-488.0295479165636
-1.04	-0.0424489795918368	-310.59231342324915	-5.177930085527265	-67.36479866477951	-3.617416898616799	0.00459055816007381	-22.970165879488583	-11.537405349410065	-68.0	0.009907909381811741	-0.010006685878156674	0.0	0.0	0.2455904113756162	-489.00994810803206
-1.04	0.0424489795918368	-310.64264712411557	-5.264470440220201	-66.77453728256914	-3.6174126730974514	0.004590554383799184	-24.59299547156403	-11.535267158508397	-68.0	0.00959402306427748	-0.010282685968402205	0.0	0.0	0.2455902331230142	-490.1778380254721
