x	y	fast_likelihood_quarks.yaml	fast_likelihood_leptons.yaml	likelihood_ewpt.yaml	likelihood_eeww.yaml	likelihood_lept.yaml	likelihood_rd_rds.yaml	likelihood_lfu_fccc.yaml	likelihood_lfu_fcnc.yaml	likelihood_bcpv.yaml	likelihood_bqnunu.yaml	likelihood_lfv.yaml	likelihood_zlfv.yaml	likelihood_higgs.yaml	global
-1.04	-2.08	-154.61473124016607	-45.54500483701338	-37.21486986718034	-0.5469883623371921	-0.010535108325411269	-17.286622996735638	-51.34653393480989	-68.0	-0.011385764080486638	-0.21388355054785002	0.0	0.0	1.0066401046060491e-09	-374.7905556601896
-1.04	-1.9951020408163267	-154.64491396470703	-43.09426256684786	-35.350207398889836	-0.5469851221812263	-0.010535098136258192	-16.68518947368748	-51.34408435072741	-68.0	-0.01145725342199988	-0.21424116406332594	0.0	0.0	9.655565236244001e-10	-369.9018763916969
-1.04	-1.910204081632653	-154.6765479153488	-40.724047549853495	-33.53586438857593	-0.5469818820334815	-0.010535087945018673	-16.17269474580751	-51.341665859004685	-68.0	-0.01152940345822806	-0.2145965526748057	0.0	0.0	9.244658372153935e-10	-365.2344633837775
-1.04	-1.8253061224489797	-154.70964782668545	-38.43444523984974	-31.771908589087165	-0.5469786418939719	-0.010535077751655297	-15.747993684170574	-51.33927818039508	-68.0	-0.011602221360759835	-0.21494945221252237	0.0	0.0	8.833822562337446e-10	-360.7873389125235
-1.04	-1.7404081632653061	-154.74422831990773	-36.22554111969394	-30.05840771656202	-0.5469754017626833	-0.010535067556129651	-15.409945174805351	-51.33692103684961	-68.0	-0.011675714399797421	-0.21530027277570696	0.0	0.0	8.42291569824738e-10	-356.5595298234707
-1.04	-1.6555102040816327	-154.78030388630873	-34.0974207012748	-28.395429450341158	-0.5469721616396193	-0.01053505735840421	-15.157413826226623	-51.334594151501314	-68.0	-0.01174988993898296	-0.2156489537154922	0.0	0.0	8.012008834157314e-10	-352.55006807750397
-1.04	-1.5706122448979594	-154.81788887306232	-32.05016952549853	-26.783041432858948	-0.5469689215247513	-0.010535047158438893	-14.989269231337467	-51.332297248654946	-68.0	-0.011824755439413082	-0.21599545630447103	0.0	0.0	7.601173024340824e-10	-348.75799049107917
-1.04	-1.4857142857142858	-154.85699746264027	-30.0838731622881	-25.221311269586668	-0.546965681418154	-0.010535036956193178	-14.904385871319121	-51.330030053807086	-68.0	-0.011900318457383818	-0.21633967496679674	0.0	0.0	7.190266160250758e-10	-345.18233853072076
-1.04	-1.4008163265306122	-154.89764365914618	-28.198617210565757	-23.71030652889637	-0.5469624413197458	-0.010535026751626653	-14.901643953075016	-51.3277922936366	-68.0	-0.011976586646444076	-0.21668150792696395	0.0	0.0	6.779359296160692e-10	-341.8221592072868
-1.04	-1.3159183673469388	-154.93984126242708	-26.39448729824811	-22.250094742002506	-0.5469592012296083	-0.010535016544696352	-14.979927478458286	-51.32558369599705	-68.0	-0.012053567761060258	-0.2170210449277068	0.0	0.0	6.368452432070626e-10	-338.6765033069594
-1.04	-1.2310204081632654	-154.98360385318654	-24.67156908222752	-20.840743402845067	-0.5469559611476598	-0.010535006335359975	-15.13812715466647	-51.32340398991179	-68.0	-0.012131269657168708	-0.21735832240668884	0.0	0.0	5.957616622254136e-10	-335.7444280417885
-1.04	-1.1461224489795918	-155.02894476603865	-23.029948248370687	-19.48231996801535	-0.5469527210739074	-0.010534996123572782	-15.375137155386952	-51.321252905603224	-68.0	-0.01220970029060986	-0.21769328329919801	0.0	0.0	5.546780812437646e-10	-333.0249937436474
-1.04	-1.0612244897959184	-155.0758770742798	-21.46971051150372	-18.174891856642912	-0.546949481008415	-0.010534985909290584	-15.689857381062474	-51.319130174444275	-68.0	-0.012288867720871899	-0.2180258149440064	0.0	0.0	5.135945002621156e-10	-330.51726614700215
-1.04	-0.9763265306122448	-155.1244135603822	-19.990941615402463	-16.918526450332788	-0.5469462409511543	-0.010534975692465753	-16.081192842250857	-51.317035528991134	-68.0	-0.01236878010967768	-0.21835587211933394	0.0	0.0	4.72503813853109e-10	-328.2203158657596
-1.04	-0.8914285714285715	-155.1760747980826	-18.59372733277452	-15.713291093042596	-0.5469430009020968	-0.010534965473052216	-16.54805362415383	-51.314968702968464	-68.0	-0.012449445728524466	-0.21868340857146684	0.0	0.0	4.3141312744410243e-10	-326.13472637126574
-1.04	-0.8065306122448979	-155.22785645621525	-17.27815346525506	-14.559253091006294	-0.5469397608612994	-0.010534955251000788	-17.08935393781215	-51.31292943127665	-68.0	-0.012530872953907313	-0.21900839626279556	0.0	0.0	3.9031533560773823e-10	-324.2565603665041
-1.04	-0.7216326530612245	-155.28127864731619	-16.04430584338799	-13.456479712643905	-0.5469365208287122	-0.01053494502626362	-17.704014071046288	-51.310917449969104	-68.0	-0.0126130702664069	-0.21933077509051913	0.0	0.0	3.4923175462608924e-10	-322.5864110352261
